Year,Month,H
1380,1,1272.567727
1380,2,1272.553636
1380,3,1272.523714
1380,4,1272.488286
1380,5,1272.458
1380,6,1272.436875
1380,7,1272.423939
1380,8,1272.4336
1380,9,1272.411304
1380,10,1272.385714
1380,11,1272.428571
1380,12,1272.647368
1381,1,1272.687179
1381,2,1272.633636
1381,3,1272.598095
1381,4,1272.539048
1381,5,1272.558182
1381,6,1272.56
1381,7,1272.479
1381,8,1272.423
1381,9,1272.422593
1381,10,1272.38
1381,11,1272.296923
1381,12,1272.213846
1382,1,1272.181538
1382,2,1272.159535
1382,3,1272.145116
1382,4,1272.133103
1382,5,1272.123529
1382,6,1272.091852
1382,7,1272.110667
1382,8,1272.09875
1382,9,1272.08
1382,10,1272.105
1382,11,1272.116857
1382,12,1272.056667
1383,1,1272.042703
1383,2,1272.034
1383,3,1272.040625
1383,4,1271.980667
1383,5,1271.908667
1383,6,1271.9
1383,7,1271.86
1383,8,1271.807714
1383,9,1271.8332
1383,10,1271.845263
1383,11,1271.829643
1383,12,1271.82
1384,1,1271.8168
1384,2,1271.8044
1384,3,1271.744444
1384,4,
1384,5,
1384,6,
1384,7,1271.709076
1384,8,1271.741111
1384,9,1271.764063
1384,10,1271.775238
1384,11,1271.789524
1384,12,1271.799545
1385,1,1271.79
1385,2,1271.79
1385,3,1271.79
1385,4,1271.772727
1385,5,1271.75
1385,6,1271.75
1385,7,1271.782286
1385,8,1271.799429
1385,9,1271.76
1385,10,1271.758824
1385,11,1271.75
1385,12,1271.723103
1386,1,1271.731875
1386,2,1271.738333
1386,3,1271.74
1386,4,1271.731034
1386,5,1271.738
1386,6,1271.748
1386,7,1271.733939
1386,8,1271.7
1386,9,1271.7
1386,10,1271.69
1386,11,1271.68
1386,12,1271.681944
1387,1,1271.69
1387,2,1271.688077
1387,3,1271.677619
1387,4,1271.670238
1387,5,1271.6694
1387,6,1271.6632
1387,7,1271.65375
1387,8,1271.635
1387,9,1271.62
1387,10,1271.61697
1387,11,1271.6
1387,12,1271.6
1388,1,1271.593415
1388,2,1271.568966
1388,3,1271.562273
1388,4,1271.57
1388,5,1271.567209
1388,6,1271.545581
1388,7,1271.54
1388,8,1271.53
1388,9,1271.52
1388,10,1271.495
1388,11,1271.48
1388,12,1271.4772
1389,1,1271.4714
1389,2,1271.453023
1389,3,1271.431395
1389,4,1271.43
1389,5,1271.428378
1389,6,1271.42
1389,7,1271.413333
1389,8,1271.37878
1389,9,1271.371463
1389,10,1271.36
1389,11,1271.361471
1389,12,1271.36931
1390,1,1271.349091
1390,2,1271.326429
1390,3,1271.312778
1390,4,1271.291111
1390,5,1271.258571
1390,6,1271.228889
1390,7,1271.194444
1390,8,1271.16381
1390,9,1271.117368
1390,10,1270.627895
1390,11,1270.731176
1390,12,1271.062826
1391,1,1271.0675
1391,2,1271.005263
1391,3,1271.048333
1391,4,1271.07
1391,5,1271.07
1391,6,1271.1405
1391,7,1271.156
1391,8,1271.175172
1391,9,1271.18697
1391,10,1271.19
1391,11,1271.193095
1391,12,1271.200909
1392,1,1271.228182
1392,2,1271.126667
1392,3,1271.086923
1392,4,1271.113333
1392,5,1271.216667
1392,6,1271.135882
1392,7,1271.172353
1392,8,1271.165
1392,9,1271.09
1392,10,1271.032
1392,11,1271.081875
1392,12,1271.172609
